"Category","Driver","Variable","Name"
"biology","biomass","Boreomysis arctica [ind/m3]",
"biology","biomass","Botrynema ellinorae [ind/m3]",
"biology","biomass","Bryozoa (larvae) [ind/m3]",
"biology","biomass","Calanus finmarchicus (AF) [ind/m3]",
"biology","biomass","Calanus finmarchicus (AM) [ind/m3]",
"biology","biomass","Calanus finmarchicus (CI) [ind/m3]",
"biology","biomass","Calanus finmarchicus (CII) [ind/m3]",
"biology","biomass","Calanus finmarchicus (CIII) [ind/m3]",
"biology","biomass","Calanus finmarchicus (CIV) [ind/m3]",
"biology","biomass","Calanus finmarchicus (CV) [ind/m3]",
"biology","biomass","Calanus glacialis (AF) [ind/m3]",
"biology","biomass","Calanus glacialis (AM) [ind/m3]",
"biology","biomass","Calanus glacialis (CI) [ind/m3]",
"biology","biomass","Calanus glacialis (CII) [ind/m3]",
"biology","biomass","Calanus glacialis (CIII) [ind/m3]",
"biology","biomass","Calanus glacialis (CIV) [ind/m3]",
"biology","biomass","Calanus glacialis (CV) [ind/m3]",
"biology","biomass","Calanus hyperboreus (AF) [ind/m3]",
"biology","biomass","Calanus hyperboreus (AM) [ind/m3]",
"biology","biomass","Calanus hyperboreus (CI) [ind/m3]",
"biology","biomass","Calanus hyperboreus (CII) [ind/m3]",
"biology","biomass","Calanus hyperboreus (CIII) [ind/m3]",
"biology","biomass","Calanus hyperboreus (CIV) [ind/m3]",
"biology","biomass","Calanus hyperboreus (CV) [ind/m3]",
"biology","biomass","Cephalopoda [ind/m3]","Cephalopoda"
"biology","biomass","Cirripedia (cypris) [ind/m3]",
"biology","biomass","Cirripedia (nauplii) [ind/m3]",
"biology","biomass","Clione limacina (veliger) [ind/m3]",
"biology","biomass","Copepoda (nauplii) [ind/m3]",
"biology","biomass","Ctenophora (larvae) [ind/m3]",
"biology","biomass","Cumacea [ind/m3]","Cumacea"
"biology","biomass","Cyclocaris guilelmi [ind/m3]",
"biology","biomass","Cyclopoida [ind/m3]","Cyclopoida"
"biology","biomass","Decapoda (larvae) [ind/m3]",
"biology","biomass","Dimophyes arctica [ind/m3]",
"biology","biomass","Disco sp. [ind/m3]","Disco sp."
"biology","biomass","Echinodermata (larvae) [ind/m3]",
"biology","biomass","Euphausiacea (calyptopis) [ind/m3]",
"biology","biomass","Euphausiacea (furcilia) [ind/m3]",
"biology","biomass","Euphausiacea (nauplii) [ind/m3]",
"biology","biomass","Eusergestes arcticus (zoea) [ind/m3]",
"biology","biomass","Eusirus holmii [ind/m3]",
"biology","biomass","Facetotecta (nauplii) [ind/m3]",
"biology","biomass","Gaetanus tenuispinus (CV) [ind/m3]",
"biology","biomass","Gastropoda (veliger (incl. Margarites and Velutina)) [ind/m3]",
"biology","biomass","Gastropoda (veliger) [ind/m3]",
"biology","biomass","Halitholus cirratus [ind/m3]",
"biology","biomass","Harpacticoida [ind/m3]","Harpacticoida"
"biology","biomass","Homeognathia brevis [ind/m3]",
"biology","biomass","Hyas araneus (megalopa) [ind/m3]",
"biology","biomass","Hyas araneus (zoea) [ind/m3]",
"biology","biomass","Hydrozoa (larvae) [ind/m3]",
"biology","biomass","Hydrozoa (medusae) [ind/m3]",
"biology","biomass","Hymenodora glacialis [ind/m3]",
"biology","biomass","Hyperia galba [ind/m3]",
