/* DATA DESCRIPTION:
Citation:	International Hydrographic Organization, IHO; Sieger, Rainer (2012): Limits of oceans and seas in digitized, machine readable form. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.777975
Related to:	International Hydrographic Organization, IHO (1953): Limits of Oceans and Seas. International Hydrographic Organization, Special Publication No 23, 3rd Edition, IMP, Monégasque - Monte-Carlo, 45 pp, hdl:10013/epic.37175.d001
Other version:	KML file containing the polygons of Oceans and Seas (URI: hdl:10013/epic.37175.d016)
Coverage:	MEDIAN LATITUDE: 22.632368 * MEDIAN LONGITUDE: 42.076221 * SOUTH-BOUND LATITUDE: -78.920994 * WEST-BOUND LONGITUDE: -179.998993 * NORTH-BOUND LATITUDE: 90.000000 * EAST-BOUND LONGITUDE: 179.998993
Comment:	This dataset is the digitized version of the printed "Limits of Oceans and Seas" (IHO, 1953). The report describes the boundaries of 148 oceans and seas. The given positions were typed into a spreadsheet and were completed to a right ordered polygon by hand using Google Earth. The dataset consists of five columns. The first column contains the name of the ocean or sea, column 2 and 3 contain the position of each polygon point (latitude, longitude). Column 4 contains an area index, column 5 a polygon index. These two indices structurize the dataset.
	The other version link provides a Google Earth layer in KML format (zipped). This layer consists of all polygons and names of oceans or seas at area centroid position given in dataset doi:10.1594/PANGAEA.777976.
Parameter(s):	Name (Name) * COMMENT: of ocean or sea
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Index (Index) * COMMENT: of ocean or sea
	Index (Index) * COMMENT: polygon position
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	7629 data points
*/
Name (of ocean or sea)	Latitude	Longitude	Index (of ocean or sea)	Index (polygon position)
Sawu Sea	-8.31944	125.13300	260002021	7
Sawu Sea	-8.64028	125.11900	260002021	8
Sawu Sea	-9.00000	125.11900	260002021	9
Sawu Sea	-10.35830	123.45700	260002021	10
Sawu Sea	-10.43060	123.37200	260002021	11
Sawu Sea	-10.94170	122.85000	260002021	12
Sawu Sea	-10.82500	121.27500	260002021	13
Sawu Sea	-10.31530	120.45800	260002021	14
Sawu Sea	-9.55000	119.94200	260002021	15
Sawu Sea	-9.27500	119.94200	260002021	16
Natuna Sea	2.08333	109.63900	260002020	1
Natuna Sea	-0.98435	110.15539	260002020	2
Natuna Sea	-2.99722	110.30600	260002020	3
Natuna Sea	-2.75000	108.27500	260002020	4
Natuna Sea	-2.60000	107.64200	260002020	5
Natuna Sea	-2.57222	106.84200	260002020	6
Natuna Sea	-3.08333	106.49200	260002020	7
Natuna Sea	-3.22500	106.08300	260002020	8
Natuna Sea	-2.72273	104.57452	260002020	9
Natuna Sea	0.15207	102.54709	260002020	10
Natuna Sea	1.09444	102.98300	260002020	11
Natuna Sea	1.16528	103.38300	260002020	12
Natuna Sea	1.10972	103.79200	260002020	13
Natuna Sea	1.17600	104.32800	260002020	14
Natuna Sea	1.12700	104.56900	260002020	15
Natuna Sea	1.23056	104.56900	260002020	16
Natuna Sea	2.74167	105.38100	260002020	17
Natuna Sea	3.09167	105.58300	260002020	18
Natuna Sea	3.33056	105.95000	260002020	19
Natuna Sea	4.79722	108.02400	260002020	20
Natuna Sea	4.01111	108.42200	260002020	21
Natuna Sea	3.05000	108.85800	260002020	22
Natuna Sea	2.08333	109.63900	260002020	23
Mindanao Sea	7.92300	123.93444	260002019	1
Mindanao Sea	5.55833	125.32900	260002019	2
Mindanao Sea	5.39167	125.32900	260002019	3
Mindanao Sea	4.74167	125.48900	260002019	4
Mindanao Sea	4.75000	119.50600	260002019	5
Mindanao Sea	4.91389	119.45300	260002019	6
Mindanao Sea	5.00833	119.74400	260002019	7
Mindanao Sea	5.35000	120.17500	260002019	8
Mindanao Sea	5.50000	120.45000	260002019	9
Mindanao Sea	5.88056	121.07500	260002019	10
Mindanao Sea	5.73333	120.90000	260002019	11
Mindanao Sea	5.88056	121.07500	260002019	12
Mindanao Sea	6.01111	121.39200	260002019	13
Mindanao Sea	6.03333	121.40000	260002019	14
Mindanao Sea	6.06667	121.45000	260002019	15
Mindanao Sea	6.40833	121.95700	260002019	16
Mindanao Sea	6.75000	122.07200	260002019	17
Mindanao Sea	6.88889	122.10800	260002019	18
Mindanao Sea	7.77422	122.40902	260002019	19
Mindanao Sea	7.92300	123.93444	260002019	20
Maluku Sea	3.34167	125.61100	260002018	1
Maluku Sea	3.73056	126.82500	260002018	2
Maluku Sea	4.48611	126.85800	260002018	3
Maluku Sea	2.64167	128.55800	260002018	4
Maluku Sea	2.27778	128.19200	260002018	5
Maluku Sea	2.19444	128.06399	260002018	6
Maluku Sea	1.84000	127.76400	260002018	7
Maluku Sea	1.00000	127.54600	260002018	8
Maluku Sea	0.60000	127.81800	260002018	9
Maluku Sea	-0.22600	127.81800	260002018	10
Maluku Sea	-0.83889	128.22200	260002018	11
Maluku Sea	-1.17500	127.54400	260002018	12
Maluku Sea	-1.29167	127.66700	260002018	13
Maluku Sea	-1.33333	127.66700	260002018	14
Maluku Sea	-1.62222	127.38900	260002018	15
Maluku Sea	-1.82222	126.48600	260002018	16
Maluku Sea	-1.93889	125.91900	260002018	17
Maluku Sea	-1.65833	124.40000	260002018	18
Maluku Sea	-1.71389	123.60000	260002018	19
Maluku Sea	-1.16667	123.29200	260002018	20
Maluku Sea	-1.05278	123.31400	260002018	21
Maluku Sea	-0.65139	123.40800	260002018	22
Maluku Sea	0.29167	123.34200	260002018	23
Maluku Sea	0.75000	124.35000	260002018	24
Maluku Sea	1.69167	125.17200	260002018	25
Maluku Sea	2.10000	125.36700	260002018	26
Maluku Sea	2.35000	125.41700	260002018	27
Maluku Sea	2.73333	125.38300	260002018	28
Maluku Sea	3.08333	125.50800	260002018	29
Maluku Sea	3.18333	125.51700	260002018	30
Maluku Sea	3.34167	125.61100	260002018	31
Makasar Strait	1.02500	118.99700	260002017	1
Makasar Strait	1.33056	120.81400	260002017	2
Makasar Strait	0.96000	120.85000	260002017	3
Makasar Strait	0.40000	120.00000	260002017	4
Makasar Strait	-4.00000	120.00000	260002017	5
Makasar Strait	-5.61250	119.46000	260002017	6
Makasar Strait	-5.53889	119.26700	260002017	7
Makasar Strait	-4.08611	116.08600	260002017	8
Makasar Strait	-3.64167	115.99400	260002017	9
Makasar Strait	-1.74791	116.09922	260002017	10
Makasar Strait	1.18452	117.75450	260002017	11
Makasar Strait	1.02500	118.99700	260002017	12
Joseph Bonaparte Gulf	-13.90830	127.34200	260002016	1
Joseph Bonaparte Gulf	-14.05280	129.47900	260002016	2
Joseph Bonaparte Gulf	-14.50130	129.83888	260002016	3
Joseph Bonaparte Gulf	-15.16430	129.80717	260002016	4
Joseph Bonaparte Gulf	-15.56954	128.09201	260002016	5
